trial,rep,bout,distance_m,package,package_code,status,snip,start_s,stop_s,duration_s,measured_m,walker,distance_error_m
26,2,2,8.0,ring,1,,140.0,7262.40379,7269.077825,6.6740350000000035,7.530035998436108,right_foot_a,-0.4699640015638922
27,2,1,8.0,medium,3,,141.0,7314.641832,7328.069813,13.427980999999818,7.991849863532912,left_foot_b,-0.008150136467087954
27,2,2,8.0,medium,3,,142.0,7337.322793,7345.749799,8.427005999999892,8.947659456083699,right_foot_a,0.9476594560836986
28,2,1,5.0,small,2,,143.0,7385.587786,7391.439764,5.85197799999969,4.900514733491862,right_foot_b,-0.09948526650813783
28,2,2,5.0,small,2,,144.0,7404.06079,7409.849746,5.788955999999416,4.672269685447668,right_foot_a,-0.3277303145523316
29,2,1,8.0,ring,1,,145.0,7469.000754,7476.883801,7.883047000000261,7.293406738127197,right_foot_a,-0.7065932618728032
29,2,2,8.0,ring,1,,146.0,7498.536756,7504.207761,5.671004999999241,7.053130220227735,left_foot_a,-0.9468697797722649
30,2,1,5.0,ring,1,,,,,,,,
30,2,2,5.0,ring,1,,,,,,,,
31,2,1,2.5,ring,1,,147.0,7541.561764,7550.986789,9.42502499999955,2.977179073068866,left_foot_a,0.4771790730688661
31,2,2,2.5,ring,1,,148.0,7556.393824,7564.348834,7.955010000000584,1.6931400811205068,right_foot_a,-0.8068599188794932
32,2,1,5.0,medium,3,,149.0,7596.606769,7603.66277,7.056000999999924,6.514954941587134,right_foot_b,1.514954941587134
32,2,2,5.0,medium,3,,150.0,7613.576793,7626.838773,13.261980000000221,4.758821152820536,left_foot_a,-0.24117884717946403
33,2,1,12.0,ring,1,,151.0,7666.132782,7678.387808,12.255026000000726,12.669238326035545,right_foot_b,0.6692383260355452
33,2,2,12.0,ring,1,,152.0,7695.695786,7707.803788,12.108001999999942,11.559276402200155,right_foot_a,-0.4407235977998454
34,2,1,2.5,small,2,,153.0,7750.00789,7754.943817,4.935927000000447,2.3903041968831014,left_foot_b,-0.10969580311689864
34,2,2,2.5,small,2,,154.0,7764.088858,7767.833856,3.7449980000001233,1.6037562144260293,left_foot_a,-0.8962437855739707
35,2,1,8.0,medium,3,,155.0,7808.693803,7816.069896,7.376092999999855,8.104213649660899,right_foot_b,0.10421364966089897
35,2,2,8.0,medium,3,,156.0,7829.581863,7836.807869,7.22600599999987,8.92061156324722,right_foot_a,0.9206115632472205
36,2,1,8.0,large,4,,157.0,7901.81291,7909.436835,7.623925000000781,7.823462902687665,left_foot_b,-0.1765370973123348
36,2,2,8.0,large,4,,158.0,7926.001878,7932.825865,6.823986999999761,7.2800400912723084,left_foot_a,-0.7199599087276916
37,2,1,12.0,medium,3,,,,,,,,
37,2,2,12.0,medium,3,,,,,,,,
38,2,1,12.0,ring,1,,159.0,8011.326832,8022.453845,11.127013000000261,11.703111042575813,right_foot_b,-0.2968889574241871
38,2,2,12.0,ring,1,,160.0,8038.933952,8048.90885,9.974897999999484,12.466169189271232,left_foot_a,0.4661691892712323
39,2,1,12.0,small,2,,161.0,8080.785839,8095.163867,14.378028000000086,11.943089184419799,right_foot_b,-0.056910815580200946
39,2,2,12.0,small,2,,162.0,8106.472938,8116.293947,9.821009000000231,11.131884011732241,left_foot_a,-0.8681159882677587
40,2,1,12.0,ring,1,LARGE BAND ON WALK BACK,163.0,8216.846581,8228.335517,11.48893599999974,11.927287822066674,right_foot_b,-0.07271217793332596
40,2,2,12.0,ring,1,LARGE BAND ON WALK BACK,164.0,8243.241911,8253.524912,10.283001000001605,11.090865244373283,right_foot_a,-0.9091347556267166
41,2,1,5.0,small,2,,165.0,8303.184913,8309.131874,5.946961000001465,5.382449990666841,right_foot_a,0.38244999066684127
41,2,2,5.0,small,2,,166.0,8320.502936,8326.195969,5.693032999999559,4.517896475351124,left_foot_a,-0.48210352464887585
42,2,1,2.5,medium,3,,,,,,,,
42,2,2,2.5,medium,3,,,,,,,,
43,2,1,2.5,large,4,,167.0,8362.048928,8367.979905,5.930976999999984,3.7900364718998074,right_foot_a,1.2900364718998074
43,2,2,2.5,large,4,,168.0,8375.206884,8380.460884,5.254000000000815,2.278516166894426,right_foot_a,-0.22148383310557396
44,2,1,8.0,small,2,,169.0,8416.47591,8421.836954,5.3610440000011295,4.55291330713454,right_foot_b,-3.4470866928654598
44,2,2,8.0,small,2,,170.0,8476.551916,8484.214953,7.663037000000259,7.650270460987288,left_foot_b,-0.34972953901271175
45,2,1,12.0,medium,3,,,,,,,,
45,2,2,12.0,medium,3,,171.0,8566.793974,8577.122937,10.32896299999993,11.402515350509761,left_foot_a,-0.597484649490239
46,2,1,12.0,small,2,,172.0,8616.867917,8628.517968,11.65005100000053,12.267608342209654,left_foot_b,0.26760834220965357
46,2,2,12.0,small,2,,173.0,8642.923984,8652.91094,9.986956000000646,11.067668724798631,right_foot_a,-0.9323312752013688
47,2,1,8.0,medium,3,,,,,,,,
47,2,2,8.0,medium,3,,174.0,8687.486931,8694.008949,6.522017999999662,7.740278578710289,right_foot_b,-0.25972142128971143
48,2,1,8.0,large,4,,175.0,8745.617939,8753.317974,7.700034999999843,8.181057753575057,right_foot_b,0.1810577535750575
48,2,2,8.0,large,4,,176.0,8768.161991,8774.867939,6.705947999998898,7.3123108083218895,left_foot_a,-0.6876891916781105
